,Unnamed: 0,scenario,run,acc,f1_score,auroc
47,47,"[16]_to_[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",2,tensor(0.3065),tensor(0.2952),tensor(0.7266)
48,48,"[17]_to_[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",0,tensor(0.6032),tensor(0.5692),tensor(0.8285)
49,49,"[17]_to_[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",1,tensor(0.6921),tensor(0.6781),tensor(0.8824)
50,50,"[17]_to_[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",2,tensor(0.4422),tensor(0.4409),tensor(0.6904)
51,51,"[18]_to_[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",0,tensor(0.5142),tensor(0.4461),tensor(0.7925)
52,52,"[18]_to_[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",1,tensor(0.0444),tensor(0.0566),tensor(0.5424)
53,53,"[18]_to_[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",2,tensor(0.2147),tensor(0.2111),tensor(0.5696)
54,54,"[19]_to_[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",0,tensor(0.3770),tensor(0.2978),tensor(0.7060)
55,55,"[19]_to_[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",1,tensor(0.2876),tensor(0.2435),tensor(0.6247)
56,56,"[19]_to_[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",2,tensor(0.1675),tensor(0.0478),tensor(0.4987)
